date,w_AAPL,w_MSFT,w_GOOG,w_AMZN,w_TSLA
2018-02-01,0.0,0.0,0.0,0.0,0.0
2018-02-02,0.0,0.0,0.0,0.0,0.0
2018-02-05,0.0,0.0,0.0,0.0,0.0
2018-02-06,0.0,0.0,0.0,0.0,0.0
2018-02-07,0.0,0.0,0.0,0.0,0.0
2018-02-08,0.0,0.0,0.0,0.0,0.0
2018-02-09,0.0,0.0,0.0,0.0,0.0
2018-02-12,0.0,0.0,0.0,0.0,0.0
2018-02-13,0.0,0.0,0.0,0.0,0.0
2018-02-14,0.0,0.0,0.0,0.0,0.0
2018-02-15,0.0,0.0,0.0,0.0,0.0
2018-02-16,0.0,0.0,0.0,0.0,0.0
2018-02-20,0.0,0.0,0.0,0.0,0.0
2018-02-21,0.0,0.0,0.0,0.0,0.0
2018-02-22,0.0,0.0,0.0,0.0,0.0
2018-02-23,0.0,0.0,0.0,0.0,0.0
2018-02-26,0.0,0.0,0.0,0.0,0.0
2018-02-27,0.0,0.0,0.0,0.0,0.0
2018-02-28,0.0,0.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,0.0,0.0
2018-03-02,0.0,0.0,0.0,0.0,0.0
2018-03-05,0.0,0.0,0.0,0.0,0.0
2018-03-06,0.0,0.0,0.0,0.0,0.0
2018-03-07,0.0,0.0,0.0,0.0,0.0
2018-03-08,0.0,0.0,0.0,0.0,0.0
2018-03-09,0.0,0.0,0.0,0.0,0.0
2018-03-12,0.0,0.0,0.0,0.0,0.0
2018-03-13,0.0,0.0,0.0,0.0,0.0
2018-03-14,0.0,0.0,0.0,0.0,0.0
2018-03-15,0.0,0.0,0.0,0.0,0.0
2018-03-16,0.0,0.0,0.0,0.0,0.0
2018-03-19,0.0,0.0,0.0,0.0,0.0
2018-03-20,0.0,0.0,0.0,0.0,0.0
2018-03-21,0.0,0.0,0.0,0.0,0.0
2018-03-22,0.0,0.0,0.0,0.0,0.0
2018-03-23,0.0,0.0,0.0,0.0,0.0
2018-03-26,0.0,0.0,0.0,0.0,0.0
2018-03-27,0.0,0.0,0.0,0.0,0.0
2018-03-28,0.0,0.0,0.0,0.0,0.0
2018-03-29,-0.06449656333667353,-0.051762210978422485,0.49413065936436357,-0.3124780682045098,-0.07713249811603064
2018-04-02,-0.12302334315632045,0.1667021940135952,0.3283490302769876,-0.12462150683866532,-0.2573039257144314
2018-04-03,0.09320931836633908,-0.02084881697178939,0.49904177926379006,-0.23442754363847368,0.1524725417596078
2018-04-04,-0.12325476864676688,-0.2498656038694153,0.2900741341488581,-0.14542076009479543,0.1913847332401643
2018-04-05,0.16434824935923253,-0.10286638012540475,0.25003296312110695,-0.3675684483793481,0.11518395901490765
2018-04-06,0.10702870928556912,0.09497322760358104,0.1702925655318865,0.2618763068977576,-0.3658291906812058
2018-04-09,-0.4752480257680694,0.003604099356753109,0.45297480716738836,-0.04380883501095738,-0.024364232696831644
2018-04-10,0.012825044259850333,-0.17771287002071057,0.24908519525270123,-0.30286296660151857,0.25751392386521926
2018-04-11,0.18163682445783927,-0.07730313100224358,0.22575159555632385,-0.33763966651784516,0.17766878246574824
2018-04-12,0.08368480938258689,-0.32925794072219416,0.08681544766157602,-0.10099727193902044,0.3992445302946224
2018-04-13,0.10416124920956098,-0.325203965944732,0.06082576754697465,-0.09633441596682947,0.4134746013319029
2018-04-16,-0.014672187228988123,-0.378555914143191,0.003670853632328052,0.08923482825035459,0.5138662167451382
2018-04-17,0.129248387268703,-0.3458322351982227,-0.007662032854600602,-0.05367815653977822,0.4635791881386955
2018-04-18,0.1521462907443676,-0.33603360573290897,0.011875902610692156,-0.040399868255685104,0.45954433265634603
2018-04-19,0.13148828335920726,-0.2738996853641162,-0.12930599265897222,0.10138925398160056,0.36391678463610383
2018-04-20,-0.0056374339310937506,-0.1890975103676835,-0.2122771743688135,0.33294369871447654,0.2600441826179327
2018-04-23,0.034408848536227936,-0.27847576400531887,-0.14539899604064055,0.22681458643081476,0.31490180498699794
2018-04-24,0.2249874825707704,-0.23478191419900848,-0.1066124647074964,0.22458471906060287,0.20903341946212178
2018-04-25,0.33744422529869117,-0.2328983774529751,-0.08559215078744509,0.10494256401585504,0.23912268244503365
2018-04-26,0.24811526474989173,-0.2896038406294862,-0.07834261324610724,0.012394822364768968,0.37154345900974595
2018-04-27,0.24811661317340453,-0.2982709927979086,-0.07060613662979838,0.007581736348816293,0.3754245210500722
2018-04-30,0.2559600975908221,-0.3463180794572782,-0.010446727937105608,0.09387836974744417,0.29339672526734983
2018-05-01,0.19213935568528212,-0.3935954086570592,0.059614897810092944,-0.0014281244311819658,0.35322221341638366
2018-05-02,0.08899884497724624,-0.42340396320942064,0.18414898881441377,0.021264573358721964,0.2821836296401972
2018-05-03,0.10314402366831128,-0.3980161591318114,0.011004083091068088,0.16221772100522827,0.3256180131035812
2018-05-04,0.022782764099343992,-0.4450745498414885,0.06506039872098068,0.04909109054279434,0.41799119679539243
2018-05-07,0.004801639221592462,-0.3800043966427885,-0.043389250760338775,0.20580567126874635,0.3659990421065339
2018-05-08,-0.03979025014937473,-0.37923477093950103,0.07477599751972624,0.1711160123160612,0.33508296907533686
2018-05-09,-0.007233945560923206,-0.3150184828138563,-0.10935316182204811,0.2847767180001109,0.28361769180306157
2018-05-10,-0.07265941855466801,-0.3335580505373999,-0.0200764290833473,0.2606090858213283,0.3130970160032565
2018-05-11,-0.06602030903159051,-0.36623390069042383,0.05183918420002778,0.22162931174873193,0.29427729432922595
2018-05-14,-0.053470208667211076,-0.3654161268240963,0.04873741658508727,0.26219816473256125,0.27017808319104397
2018-05-15,-0.03990182872446148,-0.3805016303786461,0.07608653538313952,0.24329311426660138,0.2602168912471515
2018-05-16,-0.027245339700927743,-0.40101235082581504,0.057007908252095015,0.21760885901613683,0.2971255422050252
2018-05-17,-0.035220341490111086,-0.3692055996326456,0.11919652792151568,0.1904803198764958,0.2858972110792319
2018-05-18,-0.0669821908090069,-0.355224557877927,0.08449569526797741,0.25000309505214907,0.24329446099293967
2018-05-21,-0.00022827711415825648,-0.39667647474828094,-0.01977947132380677,0.25900664438559134,0.3243091324281628
2018-05-22,-0.07949106905958161,-0.3373112731498097,0.10007472961732196,0.24568867322546284,0.2374342549478239
2018-05-23,-0.02225008363002148,-0.3997958120043404,0.0005926296171780925,0.25723980138947455,0.32012167335898556
2018-05-24,-0.08393076022428626,-0.34431449825528204,0.12988033153820272,0.16772507637718168,0.2741493336050473
2018-05-25,-0.060394843488900084,-0.3601438903361721,0.16725788404377478,0.12413129495232574,0.2880720871788272
2018-05-29,-0.004189879585960268,-0.3940555628145998,0.1850112542730149,0.11061444975224914,0.30612885357417585
2018-05-30,0.006480769864387367,-0.41052388628296754,0.09833385004038424,0.1657503938935646,0.31891109991869626
2018-05-31,-0.07020223130433678,-0.33642680265647507,0.16894502852398136,0.15709639185167687,0.2673295456635299
2018-06-01,0.02659507300073522,-0.3911494588675952,-0.0249805320773525,0.25093931835593375,0.30633561769838324
2018-06-04,0.03031817612381,-0.40417906063148334,-0.015113113319207247,0.23619982381066568,0.31418982611483365
2018-06-05,0.00016724919467177234,-0.3909590359610373,-0.02815783656158702,0.27029242446320273,0.3104234538195012
2018-06-06,0.04641171949747902,-0.32914216906035326,-0.08486998060724069,0.2775081049612837,0.2620680258736433
2018-06-07,0.07145141058114758,-0.3739162147944278,0.06892749584636261,0.1987880410216333,0.2869168377564286
2018-06-08,0.07478315618208672,-0.32568783502251036,-0.0678349902790551,0.26707014299832976,0.2646238755180181
2018-06-11,0.10948335823011855,-0.3095867254604177,-0.07701399769341846,0.2571428793417867,0.24677303927425856
2018-06-12,0.10010489743267945,-0.29927526843094776,-0.07245317391482774,0.28680460332369084,0.24136205689785423
2018-06-13,0.11722907916879387,-0.3585530614248984,0.01688561052144975,0.22115153280536595,0.2861807160794919
2018-06-14,0.09556846726485492,-0.3296662635290655,-0.07401052773221783,0.2630907483224713,0.23766399315139047
2018-06-15,0.09472835777544829,-0.3342311233106393,0.1045913181237901,0.2198013508616642,0.24664784992845812
2018-06-18,0.09812721335726325,-0.34731660921114904,-0.0461083607062697,0.25422917426122216,0.25421864246409576
2018-06-19,0.05630614701428436,-0.328524768649133,-0.055262124814173086,0.3353903350632933,0.2245166244591163
2018-06-20,0.0807276452875043,-0.27428104875894904,-0.11322549731528116,0.3510837932900816,0.18068201534818393
2018-06-21,0.055585351995316314,-0.284675880614266,-0.03263826300473016,0.47456107222246485,0.1525394321632227
2018-06-22,0.04847844352238905,-0.29687424241886445,-0.04047799811520232,0.4565425626748235,0.15762675326872053
2018-06-25,0.07652239392186724,-0.26144508232871083,0.031057058638254784,0.506949474601832,0.12402599050933509
2018-06-26,0.07135772992493555,-0.307814167020988,0.02366023442277588,0.38466892876017444,0.2124989398711262
2018-06-27,0.07032316622633322,-0.2117152235288647,0.07842972419072938,0.5022490142571118,0.1372828717969609
2018-06-28,0.08148102013661752,-0.26091699982092564,-0.06019175479181179,0.42723201616949,0.1701782090811551
2018-06-29,0.095463678758547,-0.23136764133782395,-0.037687389505767756,0.4942754982082802,0.1412057921895811
2018-07-02,0.07444253969070623,-0.2300890744535437,-0.09164246550114358,0.4347094568969726,0.1691164634576338
2018-07-03,0.08494984687529816,-0.17967894179334817,-0.1571343516028688,0.49423436793894876,0.08400249178953617
2018-07-05,0.04464931969526485,-0.19411264806380907,-0.15824344039162186,0.46908536857793565,0.13390922327136856
2018-07-06,0.03884203092244081,-0.20270142738123398,-0.1436573299542168,0.46118083256460995,0.15361837917749852
2018-07-09,0.04866903400611173,-0.20034236385670798,-0.1520359280279033,0.4562789703822757,0.14267370372700114
2018-07-10,0.03575727030456234,-0.20532474118175537,-0.144656226013744,0.481036187602148,0.13322557489779033
2018-07-11,0.02744856179644421,-0.20199704649461936,-0.1418526352182502,0.4926957431735456,0.1360060133171407
2018-07-12,0.033180369470977585,-0.21904589065644833,-0.1544068827941977,0.45171779281309365,0.14164906426528256
2018-07-13,0.031161914814841388,-0.21803249299087946,-0.15444032202665844,0.46104666115748416,0.13531860901013656
2018-07-16,0.07051749860559124,-0.23954064341547604,-0.14245100792442703,0.44314568940103777,0.10434516065346792
2018-07-17,0.11049846888325002,-0.18645345068714364,-0.19155875486545784,0.4047702790773251,0.10671904648682334
2018-07-18,0.10803543733587653,-0.20688014068472657,-0.16505819838324598,0.41138866184276796,0.10863756175338299
2018-07-19,0.10967104912291428,-0.20057212780651565,-0.11355902520669477,0.4530736418183706,0.12312415604550465
2018-07-20,0.09397183894169352,-0.21393786115232497,-0.17474719472997233,0.4100460930667936,0.10729701210921562
2018-07-23,0.0801406766549931,-0.20836785137012956,-0.17564965897770457,0.41559640259307207,0.12024541040410076
2018-07-24,0.12154398267898077,-0.21018334308744333,-0.14189099368632854,0.38095271772239286,0.14542896282485443
2018-07-25,0.09677208757136564,-0.22203317395779398,-0.15625488548488964,0.37646373349708,0.14847611948887063
2018-07-26,0.07977575424253222,-0.22425495525010983,-0.09742110293272356,0.446925623546499,0.15162256402813545
2018-07-27,0.22869882893066978,-0.19133150488708325,-0.17016858022256984,0.3078516534997331,0.10194943245994403
2018-07-30,0.2938631380863852,-0.13583298958495482,-0.15825322066464018,0.29377509914557043,0.11827555251844953
2018-07-31,0.40635361752421817,-0.13108553153181202,-0.16368780613751013,0.18864758702747386,0.11022545777898586
2018-08-01,-0.19577063359645597,-0.10008284814389792,0.25321845720955916,0.23210717604645884,0.21882088500362812
2018-08-02,0.10487906032948742,-0.27604275110581555,-0.07225127130115147,0.37771272019232455,0.1691141970712211
2018-08-03,-0.06299193686918768,-0.251968831668145,-0.05989011504158919,0.47721528300225435,0.14793383341882382
2018-08-06,-0.0616547609379305,-0.15987882200492912,-0.09358928485508305,0.5687290715801946,0.11614806062186278
2018-08-07,0.07769026015875992,-0.18119486696233306,-0.16353805628979673,0.47979159460348614,0.09778522198562409
2018-08-08,0.07742778838759394,-0.10775132838243492,-0.1368203120842842,0.6032506566188166,0.07474991452687026
2018-08-09,0.1457685428347873,-0.23768712652575869,-0.0628687322059694,0.4889958313160744,0.06467976711741016
